FOLIO,P1_1,P1_2_1,P1_2_2,P1_3,P1_4_1,P1_4_2,P1_4_3,P1_4_4,P1_4_5,P1_4_6,P4_1_1,P4_1_2,P4_1_3,ENT,FACTOR
349,1,0,1,2,,,,,,,,,,4,708
350,1,1,0,2,,,,,,,,,,26,1686
351,4,2,2,2,,,,,,,,,,15,2271
352,1,0,1,2,,,,,,,,,,6,416
353,8,3,5,1,2,1,1,1,1,1,1,1,1,9,1900
354,6,2,4,1,2,2,2,2,1,2,2,2,2,23,1115
355,7,3,4,1,2,2,1,2,1,2,1,1,1,18,159
356,5,3,2,1,2,2,1,2,1,2,1,1,4,12,1625
357,4,2,2,1,2,2,1,2,1,1,1,1,1,31,698
358,3,2,1,1,2,1,1,2,1,1,1,1,2,20,1242
359,4,1,3,1,2,2,1,1,1,1,2,3,4,5,3243
360,3,2,1,1,2,2,1,2,1,1,2,2,2,12,698
361,8,6,2,1,2,1,1,2,1,1,1,1,1,31,481
362,1,0,1,2,,,,,,,,,,32,585
363,7,5,2,1,2,2,1,2,1,2,1,1,1,16,686
364,2,0,2,2,,,,,,,,,,3,225
365,1,1,0,2,,,,,,,,,,15,9827
366,5,2,3,1,2,1,1,2,1,1,2,2,2,24,530
367,2,1,1,1,2,1,2,2,1,1,1,1,1,5,3636
368,1,1,0,2,,,,,,,,,,32,696
369,2,1,1,2,,,,,,,,,,26,874
370,3,1,2,2,,,,,,,,,,12,467
371,2,0,2,2,,,,,,,,,,20,752
372,5,3,2,1,2,2,1,2,1,2,2,2,2,8,1103
373,4,1,3,1,2,2,2,2,1,1,2,2,1,29,136
374,4,1,3,1,2,2,1,2,1,2,1,1,1,7,1590
375,2,1,1,2,,,,,,,,,,16,1104
376,6,2,4,1,1,1,2,2,1,1,3,2,3,20,665
377,3,3,0,2,,,,,,,,,,16,621
378,2,1,1,2,,,,,,,,,,32,324
379,3,2,1,1,2,2,1,2,1,2,1,1,1,31,686
380,4,3,1,1,2,2,2,2,1,1,1,2,2,12,411
381,3,2,1,1,2,2,1,2,1,2,1,1,1,18,330
382,6,4,2,1,2,1,1,2,1,1,4,3,2,4,409
383,6,5,1,1,2,1,1,2,1,1,1,2,2,11,2405
384,4,2,2,1,2,1,1,1,1,1,1,1,3,14,3816
385,5,2,3,1,2,2,1,2,1,1,1,1,1,20,1447
386,3,2,1,1,1,1,1,2,1,1,4,2,2,31,705
387,1,1,0,2,,,,,,,,,,1,925
388,3,2,1,1,2,1,1,2,1,1,2,2,2,27,595
389,3,1,2,2,,,,,,,,,,21,903
390,2,1,1,2,,,,,,,,,,20,738
391,6,4,2,1,2,2,1,2,1,2,2,2,2,27,331
392,3,1,2,2,,,,,,,,,,6,150
393,7,3,4,2,,,,,,,,,,29,49
394,4,2,2,1,1,1,1,2,1,1,1,1,1,28,3676
